street,city,neighborhood,address_area,address_neighborhood
האבות,ראשון לציון,השומר,,
הזהבית,ראשון לציון,קרית ראשון,ראשון לציון והסביבה,קרית ראשון
כורש,ראשון לציון,נוה חוף,,
חייקה גרוסמן,ראשון לציון,בנות חיל,,
יואל דרובין,ראשון לציון,"רמז, מערב ותיק",ראשון לציון והסביבה,"רמז, מערב ותיק"
דבורה עומר,ראשון לציון,נחלת יהודה,,
אביעזר ילין,ראשון לציון,"רביבים, גני ראשון",ראשון לציון והסביבה,"רביבים, גני ראשון"
הרב עוזיאל,ראשון לציון,"רמב""ם",,
צבי הרמן שפירא,ראשון לציון,אברמוביץ',,
העוגן,ראשון לציון,נוה ים,ראשון לציון והסביבה,נוה ים
התוף,ראשון לציון,נאות אשלים,ראשון לציון והסביבה,נאות אשלים
"צ""ג בנות",ראשון לציון,"רמב""ם",,
ארתור רובינשטיין,ראשון לציון,כצנלסון,ראשון לציון והסביבה,כצנלסון
יאנוש קורצ'אק,ראשון לציון,רמת אליהו,ראשון לציון והסביבה,רמת אליהו
חיל החימוש,ראשון לציון,נוה חוף,,
השייטים,ראשון לציון,נוה ים,,
חנה רובינא,ראשון לציון,בנות חיל,,
השריג,ראשון לציון,קרית כרמים,,
וייצבארד,ראשון לציון,"רמב""ם",ראשון לציון והסביבה,"רמב""ם"
ראובן יודלוביץ,ראשון לציון,"רמז, מערב ותיק",ראשון לציון והסביבה,"רמז, מערב ותיק"
חניון עין הקורא,ראשון לציון,אברמוביץ',ראשון לציון והסביבה,אברמוביץ'
האחים סולימן,ראשון לציון,"רמב""ם",ראשון לציון והסביבה,"רמב""ם"
מיימון,ראשון לציון,"רמב""ם",ראשון לציון והסביבה,"רמב""ם"
מרום גולן,ראשון לציון,נוה דקלים,,
הקוקיה,ראשון לציון,נוה הדרים,ראשון לציון והסביבה,נוה הדרים
"אח""י סופה",ראשון לציון,שער הים,,
מבצע יואב,ראשון לציון,נוה ים,ראשון לציון והסביבה,נוה ים
"חזון אי""ש",ראשון לציון,"רמב""ם",ראשון לציון והסביבה,"רמב""ם"
נאות אשלים,ראשון לציון,נאות אשלים,,
יערי,ראשון לציון,מישור הנוף,ראשון לציון והסביבה,מישור הנוף
החוחית,ראשון לציון,נוה הדרים,ראשון לציון והסביבה,נוה הדרים
שלמה קפלנסקי,ראשון לציון,"רמז, מערב ותיק",ראשון לציון והסביבה,"רמז, מערב ותיק"
שקולניק,ראשון לציון,קרית שמחה,,
דוד הראובני,ראשון לציון,"רמב""ם",,
עמיר,ראשון לציון,קרית גנים,ראשון לציון והסביבה,קרית גנים
הכורמים,ראשון לציון,קרית כרמים,ראשון לציון והסביבה,קרית כרמים
פולה בן גוריון,ראשון לציון,בנות חיל,ראשון לציון והסביבה,בנות חיל
אלפסי,ראשון לציון,שיכוני המזרח,ראשון לציון והסביבה,שיכוני המזרח
החבצלת,ראשון לציון,שיכוני המזרח,ראשון לציון והסביבה,שיכוני המזרח
לובמן,ראשון לציון,השומר,ראשון לציון והסביבה,השומר
נוב,ראשון לציון,נוה דקלים,ראשון לציון והסביבה,נוה דקלים
הנרקיס,ראשון לציון,קרית ראשון,,
הדגל העברי,ראשון לציון,כצנלסון,ראשון לציון והסביבה,כצנלסון
שפינוזה,ראשון לציון,אברמוביץ',ראשון לציון והסביבה,אברמוביץ'
אילון,ראשון לציון,קרית גנים,ראשון לציון והסביבה,קרית גנים
אנה פרנק,ראשון לציון,בנות חיל,ראשון לציון והסביבה,בנות חיל
ההכשרות,ראשון לציון,מרום ראשון,,
טירת צבי,ראשון לציון,קרית גנים,ראשון לציון והסביבה,קרית גנים
"רד""ק",ראשון לציון,שיכוני המזרח,ראשון לציון והסביבה,שיכוני המזרח
הרימון,ראשון לציון,"רמז, מערב ותיק",ראשון לציון והסביבה,"רמז, מערב ותיק"
הפורצים,ראשון לציון,כצנלסון,ראשון לציון והסביבה,כצנלסון
בילינסון,ראשון לציון,כצנלסון,,
הדוגית,ראשון לציון,נוה ים,ראשון לציון והסביבה,נוה ים
הכינור,ראשון לציון,נאות אשלים,ראשון לציון והסביבה,נאות אשלים
פרופ' נחום,ראשון לציון,כצנלסון,,
סמילנסקי,ראשון לציון,ראשונים,,
האלה,ראשון לציון,שיכוני המזרח,,
עין דור,ראשון לציון,מרום ראשון,,
זבולון המר,ראשון לציון,קרית הלאום,,
טביב,ראשון לציון,השומר,ראשון לציון והסביבה,השומר
אליעזר בלבן,ראשון לציון,קדמת ראשון,,
גרינשפן,ראשון לציון,נוה הדרים,ראשון לציון והסביבה,נוה הדרים
החייל האלמוני,ראשון לציון,אברמוביץ',ראשון לציון והסביבה,אברמוביץ'
מיכל פוחצ'בסקי,ראשון לציון,ראשונים,,
"אח""י מזנק",ראשון לציון,שער הים,ראשון לציון והסביבה,שער הים
אלקבץ,ראשון לציון,נאות שקמה,,
חנה סנש,ראשון לציון,רמת אליהו,ראשון לציון והסביבה,רמת אליהו
נגבה,ראשון לציון,קרית גנים,ראשון לציון והסביבה,קרית גנים
מאירוביץ',ראשון לציון,השומר,ראשון לציון והסביבה,השומר
האחים זייגר,ראשון לציון,אברמוביץ',,
"רש""י",ראשון לציון,"רמב""ם",ראשון לציון והסביבה,"רמב""ם"
צ'לנוב,ראשון לציון,"רמז, מערב ותיק",,
צייטלין,ראשון לציון,רמת אליהו,ראשון לציון והסביבה,רמת אליהו
ברנר,ראשון לציון,כצנלסון,,
הכנסת,ראשון לציון,רמת אליהו,,
412,ראשון לציון,נחלת יהודה,,
השירה העברית,ראשון לציון,נאות שקמה,,
החלוצים,ראשון לציון,נוה דקלים,,
קרית ספר,ראשון לציון,כצנלסון,,
"אח""י מבטח",ראשון לציון,שער הים,ראשון לציון והסביבה,שער הים
"פיק""א",ראשון לציון,קדמת ראשון,,
התקווה,ראשון לציון,כצנלסון,,
דוד בולטימור,ראשון לציון,קרית חתני פרס נובל,,
פול ברג,ראשון לציון,קרית חתני פרס נובל,ראשון לציון והסביבה,קרית חתני פרס נובל
הסיתוונית,ראשון לציון,קרית ראשון,,
סוקולוב,ראשון לציון,ראשונים,,
הרפסודה,ראשון לציון,נוה ים,ראשון לציון והסביבה,נוה ים
ארבל,ראשון לציון,"רמז, מערב ותיק",,
הרב יצחק שלינקה,ראשון לציון,נחלת יהודה,ראשון לציון והסביבה,נחלת יהודה
מנחם גינדי,ראשון לציון,מרום ראשון,,
"מיש""ר",ראשון לציון,קרית הלאום,,
הסוכה,ראשון לציון,קרית כרמים,,
האורגן,ראשון לציון,נאות אשלים,,
יעקב כהן,ראשון לציון,רמת אליהו,,
מניה שוחט,ראשון לציון,"רמז, מערב ותיק",ראשון לציון והסביבה,"רמז, מערב ותיק"
האילתית,ראשון לציון,נוה ים,,
מלכי ישראל,ראשון לציון,רמת אליהו,,
הרב הרצוג,ראשון לציון,"רמב""ם",,
חטיבת קרייתי,ראשון לציון,"רמב""ם",,
הרב יוסף טולדנו,ראשון לציון,אברמוביץ',,
נועם לאונר,ראשון לציון,נחלת יהודה,,
התות,ראשון לציון,צמרות,,
עגנון,ראשון לציון,רמת אליהו,,
שושנת יעקב,ראשון לציון,נוה חוף,,
חיל השריון,ראשון לציון,נוה חוף,,
מיכאל סיטרמן,ראשון לציון,נחלת יהודה,ראשון לציון והסביבה,נחלת יהודה
משמר הירדן,ראשון לציון,קדמת ראשון,ראשון לציון והסביבה,קדמת ראשון
מזרחי,ראשון לציון,"רמב""ם",ראשון לציון והסביבה,"רמב""ם"
פנינת הים,ראשון לציון,נוה ים,ראשון לציון והסביבה,נוה ים
קלישר,ראשון לציון,נאות שקמה,ראשון לציון והסביבה,נאות שקמה
משעול משה ובנימין,ראשון לציון,נחלת יהודה,,
אלימלך צמיר,ראשון לציון,נחלת יהודה,ראשון לציון והסביבה,נחלת יהודה
היסמין,ראשון לציון,קרית ראשון,ראשון לציון והסביבה,קרית ראשון
תנועות הנוער,ראשון לציון,נעורים,ראשון לציון והסביבה,נעורים
אפיק,ראשון לציון,נוה דקלים,ראשון לציון והסביבה,נוה דקלים
חיספין,ראשון לציון,נוה דקלים,ראשון לציון והסביבה,נוה דקלים
לשם,ראשון לציון,נוה ים,,
שמואל שרירא,ראשון לציון,"רביבים, גני ראשון",,
החצב,ראשון לציון,שיכוני המזרח,,
האלוף דוד מימון,ראשון לציון,קרית הלאום,,
רוטשילד,ראשון לציון,אברמוביץ',ראשון לציון והסביבה,אברמוביץ'
השדה,ראשון לציון,"רמז, מערב ותיק",ראשון לציון והסביבה,"רמז, מערב ותיק"
יוסף הלוי,ראשון לציון,"רמב""ם",ראשון לציון והסביבה,"רמב""ם"
המורה אברהם,ראשון לציון,נחלת יהודה,ראשון לציון והסביבה,נחלת יהודה
הסיגלית,ראשון לציון,קרית ראשון,ראשון לציון והסביבה,קרית ראשון
סגיס יהודה,ראשון לציון,"רביבים, גני ראשון",ראשון לציון והסביבה,"רביבים, גני ראשון"
מאפו,ראשון לציון,כצנלסון,,
הקלרנית,ראשון לציון,נאות אשלים,,
הרב ברוק,ראשון לציון,"רמב""ם",,
יצחק שדה,ראשון לציון,"רמז, מערב ותיק",,
שלמה נתן,ראשון לציון,רמת אליהו,,
היקינטון,ראשון לציון,קרית ראשון,,
ארנון,ראשון לציון,רמת אליהו,ראשון לציון והסביבה,רמת אליהו
ירושלים,ראשון לציון,"רמב""ם",ראשון לציון והסביבה,"רמב""ם"
דמארי,ראשון לציון,השומר,ראשון לציון והסביבה,השומר
ש. בן ציון,ראשון לציון,כצנלסון,ראשון לציון והסביבה,כצנלסון
גיסין,ראשון לציון,אברמוביץ',,
טרומפלדור,ראשון לציון,אברמוביץ',ראשון לציון והסביבה,אברמוביץ'
הנחלה,ראשון לציון,נחלת יהודה,ראשון לציון והסביבה,נחלת יהודה
חצר אדר,ראשון לציון,נוה דקלים,ראשון לציון והסביבה,נוה דקלים
שנהב,ראשון לציון,נוה ים,ראשון לציון והסביבה,נוה ים
ברזילי,ראשון לציון,כצנלסון,,
שדרות מרילנד,ראשון לציון,שאר העיר,ראשון לציון והסביבה,שאר העיר
חנקין,ראשון לציון,ראשונים,ראשון לציון והסביבה,ראשונים
ויתקין,ראשון לציון,"רמב""ם",,
המייסדים,ראשון לציון,נחלת יהודה,ראשון לציון והסביבה,נחלת יהודה
שעל,ראשון לציון,נוה דקלים,ראשון לציון והסביבה,נוה דקלים
השחר,ראשון לציון,כצנלסון,,
מבוא חמה,ראשון לציון,נוה דקלים,,
הכתר,ראשון לציון,נוה חוף,,
נחמה,ראשון לציון,"רמב""ם",ראשון לציון והסביבה,"רמב""ם"
הרב ינובסקי,ראשון לציון,"רמז, מערב ותיק",ראשון לציון והסביבה,"רמז, מערב ותיק"
"ביל""ו",ראשון לציון,השומר,ראשון לציון והסביבה,השומר
האתרוג,ראשון לציון,שיכוני המזרח,ראשון לציון והסביבה,שיכוני המזרח
אבידן שמעון,ראשון לציון,"רביבים, גני ראשון",ראשון לציון והסביבה,"רביבים, גני ראשון"
אסא,ראשון לציון,אברמוביץ',ראשון לציון והסביבה,אברמוביץ'
מרדכי מוטלה רוזנשטיין,ראשון לציון,"רמב""ם",,
מעונות ברכה,ראשון לציון,השומר,ראשון לציון והסביבה,השומר
הברושים,ראשון לציון,נחלת יהודה,,
ישעיהו הנביא,ראשון לציון,שיכוני המזרח,,
עין צורים,ראשון לציון,"רמב""ם",ראשון לציון והסביבה,"רמב""ם"
אושה,ראשון לציון,קרית גנים,ראשון לציון והסביבה,קרית גנים
הרב נריה,ראשון לציון,נאות שקמה,,
גולדה מאיר,ראשון לציון,קרית ראשון,,
זהרה לביטוב,ראשון לציון,בנות חיל,ראשון לציון והסביבה,בנות חיל
נחמיה,ראשון לציון,שיכוני המזרח,ראשון לציון והסביבה,שיכוני המזרח
הנחליאלי,ראשון לציון,נוה הדרים,ראשון לציון והסביבה,נוה הדרים
יוסף קלוזנר,ראשון לציון,"רביבים, גני ראשון",,
האוכמנית,ראשון לציון,צמרות,ראשון לציון והסביבה,צמרות
"אז""ר",ראשון לציון,אברמוביץ',ראשון לציון והסביבה,אברמוביץ'
יהודה,ראשון לציון,"רמב""ם",,
מוליק איל,ראשון לציון,נחלת יהודה,,
רבי יוסף בוכריץ,ראשון לציון,נחלת יהודה,ראשון לציון והסביבה,נחלת יהודה
הדודאים,ראשון לציון,שיכוני המזרח,ראשון לציון והסביבה,שיכוני המזרח
האוניה,ראשון לציון,נוה ים,ראשון לציון והסביבה,נוה ים
הורד,ראשון לציון,שיכוני המזרח,ראשון לציון והסביבה,שיכוני המזרח
אחיעזר,ראשון לציון,"רמב""ם",,
בורוכוב,ראשון לציון,כצנלסון,,
"בית""ר",ראשון לציון,אברמוביץ',,
קאליב,ראשון לציון,"רביבים, גני ראשון",,
שמשון זליג,ראשון לציון,ראשונים,ראשון לציון והסביבה,ראשונים
הכסיף,ראשון לציון,נוה ים,,
בנימין שמוטקין,ראשון לציון,"מב""ת צפון, אזור תעשיה ישן",,
הדובדבן,ראשון לציון,צמרות,ראשון לציון והסביבה,צמרות
המוכתר,ראשון לציון,נחלת יהודה,ראשון לציון והסביבה,נחלת יהודה
גינוסר,ראשון לציון,קרית גנים,ראשון לציון והסביבה,קרית גנים
בית יהושע,ראשון לציון,קרית גנים,ראשון לציון והסביבה,קרית גנים
דיקלה,ראשון לציון,נוה דקלים,ראשון לציון והסביבה,נוה דקלים
הגיתית,ראשון לציון,נאות אשלים,,
בני חיל,ראשון לציון,נוה דקלים,,
אשר לוין,ראשון לציון,"רמב""ם",,
אחד העם,ראשון לציון,"רמב""ם",,
קרל נטר,ראשון לציון,אברמוביץ',,
בית לחם,ראשון לציון,השומר,ראשון לציון והסביבה,השומר
חבקוק,ראשון לציון,השומר,ראשון לציון והסביבה,השומר
הדולפין,ראשון לציון,נוה ים,ראשון לציון והסביבה,נוה ים
ישראל ופאני,ראשון לציון,"רביבים, גני ראשון",,
פרי גן,ראשון לציון,נוה דקלים,,
פיינברג,ראשון לציון,"רמב""ם",,
האחים אוסטשינסקי,ראשון לציון,ראשונים,ראשון לציון והסביבה,ראשונים
מרדכי פופל,ראשון לציון,קדמת ראשון,ראשון לציון והסביבה,קדמת ראשון
משה הס,ראשון לציון,כצנלסון,,
גולינקין,ראשון לציון,רמת אליהו,,
רבי עקיבא,ראשון לציון,שיכוני המזרח,,
יהושע גיבשטיין,ראשון לציון,קרית שמחה,,
המרגנית,ראשון לציון,קרית ראשון,ראשון לציון והסביבה,קרית ראשון
המלחים,ראשון לציון,נוה ים,ראשון לציון והסביבה,נוה ים
שמריהו לוין,ראשון לציון,אברמוביץ',,
הירקון,ראשון לציון,"רמז, מערב ותיק",ראשון לציון והסביבה,"רמז, מערב ותיק"
חיים שרף,ראשון לציון,"רביבים, גני ראשון",,
נתיב העשרה,ראשון לציון,נוה דקלים,,
יובלים,ראשון לציון,ראשונים,ראשון לציון והסביבה,ראשונים
הלימון,ראשון לציון,נחלת יהודה,ראשון לציון והסביבה,נחלת יהודה
וייצמן,ראשון לציון,אברמוביץ',ראשון לציון והסביבה,אברמוביץ'
גרץ,ראשון לציון,כצנלסון,ראשון לציון והסביבה,כצנלסון
לוז,ראשון לציון,נחלת יהודה,ראשון לציון והסביבה,נחלת יהודה
האם,ראשון לציון,"רמז, מערב ותיק",,
הרב קוק,ראשון לציון,"רמב""ם",ראשון לציון והסביבה,"רמב""ם"
העוגב,ראשון לציון,נאות אשלים,ראשון לציון והסביבה,נאות אשלים
סמטת בצלאל,ראשון לציון,"רמב""ם",ראשון לציון והסביבה,"רמב""ם"
אבן חן,ראשון לציון,נוה ים,ראשון לציון והסביבה,נוה ים
שדה נחום,ראשון לציון,קרית גנים,,
לנדאו,ראשון לציון,נוה חוף,ראשון לציון והסביבה,נוה חוף
הסמדר,ראשון לציון,קרית כרמים,ראשון לציון והסביבה,קרית כרמים
החליל,ראשון לציון,נאות אשלים,ראשון לציון והסביבה,נאות אשלים
יצחק איגו ולד,ראשון לציון,נחלת יהודה,ראשון לציון והסביבה,נחלת יהודה
הבשן,ראשון לציון,"רמז, מערב ותיק",ראשון לציון והסביבה,"רמז, מערב ותיק"
ויגודסקי,ראשון לציון,"רמב""ם",,
מבצע חורב,ראשון לציון,נוה ים,,
התבור,ראשון לציון,"רמז, מערב ותיק",,
חיל הצנחנים,ראשון לציון,נוה חוף,,
חיל האוויר,ראשון לציון,נוה חוף,,
שדרות בן גוריון,ראשון לציון,כצנלסון,,
המשוררת רחל,ראשון לציון,נאות שקמה,,
אברבנאל,ראשון לציון,"רמב""ם",,
הבוצרים,ראשון לציון,קרית כרמים,,
צ'רנוב,ראשון לציון,ראשונים,,
הרשקוביץ,ראשון לציון,נחלת יהודה,,
"אח""י להב",ראשון לציון,שער הים,,
הלולב,ראשון לציון,שיכוני המזרח,,
נירים,ראשון לציון,מרום ראשון,,
האגס,ראשון לציון,נחלת יהודה,,
המפוחית,ראשון לציון,נאות אשלים,ראשון לציון והסביבה,נאות אשלים
הסנפיר,ראשון לציון,נוה ים,,
הפיקוס,ראשון לציון,צמרות,,
שיבת ציון,ראשון לציון,ראשונים,,
בני יהודה,ראשון לציון,נוה דקלים,,
מבצע שלמה,ראשון לציון,נוה ים,,
אורטל,ראשון לציון,נוה דקלים,ראשון לציון והסביבה,נוה דקלים
הנחשול,ראשון לציון,נוה ים,,
מעגל השלום,ראשון לציון,קרית חתני פרס נובל,,
הלווייתן,ראשון לציון,נוה ים,ראשון לציון והסביבה,נוה ים
תורה ועבודה,ראשון לציון,רמת אליהו,,
אריה בן אליעזר,ראשון לציון,"רמז, מערב ותיק",ראשון לציון והסביבה,"רמז, מערב ותיק"
יעקב פריימן,ראשון לציון,שאר העיר,,
המגילה,ראשון לציון,נוה חוף,ראשון לציון והסביבה,נוה חוף
יונה צבי פיינשטיין,ראשון לציון,מישור הנוף,,
שדמות דבורה,ראשון לציון,קרית גנים,,
דרור,ראשון לציון,"רמב""ם",,
אהרון קרון,ראשון לציון,ראשונים,ראשון לציון והסביבה,ראשונים
היקב,ראשון לציון,קרית כרמים,ראשון לציון והסביבה,קרית כרמים
יהודה רגוניס,ראשון לציון,"רמב""ם",,
בן סרוק,ראשון לציון,נאות שקמה,,
הנביאים,ראשון לציון,שיכוני המזרח,ראשון לציון והסביבה,שיכוני המזרח
הדגן,ראשון לציון,קרית כרמים,ראשון לציון והסביבה,קרית כרמים
צבי פרנק,ראשון לציון,קדמת ראשון,,
הפרג,ראשון לציון,קרית ראשון,ראשון לציון והסביבה,קרית ראשון
הרצל,ראשון לציון,אברמוביץ',,
הרקפת,ראשון לציון,שיכוני המזרח,,
חיל הרגלים,ראשון לציון,נוה חוף,,
הרבי מלובביץ',ראשון לציון,נאות שקמה,,
כיכר המייסדים,ראשון לציון,"רמב""ם",ראשון לציון והסביבה,"רמב""ם"
הצבעוני,ראשון לציון,קרית ראשון,ראשון לציון והסביבה,קרית ראשון
תל חי,ראשון לציון,אברמוביץ',ראשון לציון והסביבה,אברמוביץ'
חמדיה,ראשון לציון,קרית גנים,ראשון לציון והסביבה,קרית גנים
יוחנן הסנדלר,ראשון לציון,"רמב""ם",ראשון לציון והסביבה,"רמב""ם"
שלמה מולכו,ראשון לציון,"רמב""ם",,
בארי,ראשון לציון,נחלת יהודה,ראשון לציון והסביבה,נחלת יהודה
שליט,ראשון לציון,אברמוביץ',ראשון לציון והסביבה,אברמוביץ'
הסביון,ראשון לציון,קרית ראשון,ראשון לציון והסביבה,קרית ראשון
עליזה בגין,ראשון לציון,בנות חיל,,
שדרות יעקב,ראשון לציון,שיכוני המזרח,,
אשר אורנבך,ראשון לציון,נחלת יהודה,,
סמטת גן נחום,ראשון לציון,ראשונים,,
הנגיד,ראשון לציון,נאות שקמה,,
שפטל,ראשון לציון,"רמז, מערב ותיק",,
החלמונית,ראשון לציון,קרית ראשון,ראשון לציון והסביבה,קרית ראשון
הרותם,ראשון לציון,קרית ראשון,ראשון לציון והסביבה,קרית ראשון
"ריב""ל",ראשון לציון,נאות שקמה,,
נווה דקלים,ראשון לציון,נוה דקלים,,
סעדיה ויוסף בשארי,ראשון לציון,נחלת יהודה,,
שלמה פומבורובסקי,ראשון לציון,"רביבים, גני ראשון",,
אוסישקין,ראשון לציון,אברמוביץ',,
גאולים,ראשון לציון,קרית גנים,ראשון לציון והסביבה,קרית גנים
הרב פנחס זכריה,ראשון לציון,שיכוני המזרח,ראשון לציון והסביבה,שיכוני המזרח
הפרח,ראשון לציון,שיכוני המזרח,,
רבי יהודה הנשיא,ראשון לציון,מישור הנוף,,
יברבוים,ראשון לציון,"רמז, מערב ותיק",ראשון לציון והסביבה,"רמז, מערב ותיק"
לב דוידוביץ לנדאו,ראשון לציון,קרית חתני פרס נובל,,
שדרות רחבעם זאבי,ראשון לציון,שער הים,,
הציפורן,ראשון לציון,קרית ראשון,ראשון לציון והסביבה,קרית ראשון
גבים,ראשון לציון,ראשונים,ראשון לציון והסביבה,ראשונים
יחזקאל הנביא,ראשון לציון,שיכוני המזרח,ראשון לציון והסביבה,שיכוני המזרח
ברנדייס,ראשון לציון,"רמב""ם",,
קהילת ניו ג'רסי,ראשון לציון,רמת אליהו,ראשון לציון והסביבה,רמת אליהו
אהרונוביץ',ראשון לציון,כצנלסון,ראשון לציון והסביבה,כצנלסון
שרה ואליהו קפלן,ראשון לציון,"רמב""ם",ראשון לציון והסביבה,"רמב""ם"
מלאכי,ראשון לציון,שיכוני המזרח,ראשון לציון והסביבה,שיכוני המזרח
האשל,ראשון לציון,שיכוני המזרח,,
ימית,ראשון לציון,נוה דקלים,,
הרב אונטרמן,ראשון לציון,נאות שקמה,,
דוד תדהר,ראשון לציון,רמת אליהו,ראשון לציון והסביבה,רמת אליהו
שיינקין,ראשון לציון,אברמוביץ',,
חיל התותחנים,ראשון לציון,נוה חוף,ראשון לציון והסביבה,נוה חוף
דב הוז,ראשון לציון,כצנלסון,,
משה גבין,ראשון לציון,נחלת יהודה,ראשון לציון והסביבה,נחלת יהודה
הגאון מוילנה,ראשון לציון,"רמב""ם",,
20,ראשון לציון,דרום מערב העיר,,
האחד עשר,ראשון לציון,"רביבים, גני ראשון",ראשון לציון והסביבה,"רביבים, גני ראשון"
שלונסקי,ראשון לציון,נאות שקמה,,
הקנאים,ראשון לציון,שיכוני המזרח,ראשון לציון והסביבה,שיכוני המזרח
רמז,ראשון לציון,"רמז, מערב ותיק",,
"חב""ד",ראשון לציון,"רמב""ם",ראשון לציון והסביבה,"רמב""ם"
נורוק,ראשון לציון,רמת אליהו,,
הרב גורן,ראשון לציון,נאות שקמה,,
ההדרים,ראשון לציון,"רמז, מערב ותיק",ראשון לציון והסביבה,"רמז, מערב ותיק"
אמיל זולא,ראשון לציון,אברמוביץ',,
ראובן ובת שבע,ראשון לציון,קדמת ראשון,,
הברון הירש,ראשון לציון,אברמוביץ',ראשון לציון והסביבה,אברמוביץ'
הכרמל,ראשון לציון,השומר,,
הלבונה,ראשון לציון,נוה חוף,,
מסילות,ראשון לציון,קרית גנים,ראשון לציון והסביבה,קרית גנים
רוזלין יאלו,ראשון לציון,קרית חתני פרס נובל,ראשון לציון והסביבה,קרית חתני פרס נובל
הר ציון,ראשון לציון,נוה הילל,ראשון לציון והסביבה,נוה הילל
הזמורה,ראשון לציון,קרית כרמים,ראשון לציון והסביבה,קרית כרמים
מרטין בובר,ראשון לציון,נאות שקמה,,
"הרשב""א",ראשון לציון,נאות שקמה,,
בית הערבה,ראשון לציון,קרית גנים,,
היוזמה,ראשון לציון,"אזור תעשיה מעויין שורק, מרכז עסקים שורק",ראשון לציון והסביבה,"אזור תעשיה מעויין שורק, מרכז עסקים שורק"
מיכה יוסף,ראשון לציון,כצנלסון,,
ד'ארבלה,ראשון לציון,שיכוני המזרח,,
הגת,ראשון לציון,קרית כרמים,,
טשרניחובסקי,ראשון לציון,כצנלסון,,
"יל""ג",ראשון לציון,אברמוביץ',,
ניר דוד,ראשון לציון,קרית גנים,ראשון לציון והסביבה,קרית גנים
הורוביץ,ראשון לציון,"רמז, מערב ותיק",ראשון לציון והסביבה,"רמז, מערב ותיק"
שדרות נים,ראשון לציון,קרית שמחה,ראשון לציון והסביבה,קרית שמחה
דוד סניור,ראשון לציון,"רמב""ם",,
אבשלום,ראשון לציון,אברמוביץ',ראשון לציון והסביבה,אברמוביץ'
קידוש השם,ראשון לציון,"רמב""ם",,
מונטיפיורי,ראשון לציון,אברמוביץ',,
מבצע קדש,ראשון לציון,כצנלסון,ראשון לציון והסביבה,כצנלסון
שדרות היובל,ראשון לציון,נחלת יהודה,,
אריאב,ראשון לציון,רמת אליהו,ראשון לציון והסביבה,רמת אליהו
ברנשטיין,ראשון לציון,נוה הדרים,ראשון לציון והסביבה,נוה הדרים
גלוסקא,ראש העין,"רמב""ם",ראש העין והסביבה,"רמב""ם"
גפן,ראש העין,גבעת טל,,
סלעית,ראש העין,גבעת הסלעים,ראש העין והסביבה,גבעת הסלעים
שרקרק,ראש העין,פסגת טל,ראש העין והסביבה,פסגת טל
הר המור,ראש העין,מצפה אפק,,
מבצע חירם,ראש העין,נוה אפק,ראש העין והסביבה,נוה אפק
מבצע הראל,ראש העין,נוה אפק,,
אגמית,ראש העין,פסגת טל,ראש העין והסביבה,פסגת טל
ברקן,ראש העין,נוה אפק,ראש העין והסביבה,נוה אפק
גרניט,ראש העין,גבעת הסלעים,,
דרך הציונות,ראש העין,גבעת הסלעים,,
צוקית,ראש העין,פסגת טל,,
קשת,ראש העין,נוה אפק,ראש העין והסביבה,נוה אפק
החשמונאים,ראש העין,"צה""ל",ראש העין והסביבה,"צה""ל"
חוגלה,ראש העין,גבעת הסלעים,,
יפה ירקוני,ראש העין,פסגות אפק,ראש העין והסביבה,פסגות אפק
קתרוס,ראש העין,נוה אפק,ראש העין והסביבה,נוה אפק
אפק,ראש העין,שבזי,ראש העין והסביבה,שבזי
"רמב""ם",ראש העין,"רמב""ם",,
פולג,ראש העין,נוה אפק,ראש העין והסביבה,נוה אפק
אירוס,ראש העין,גבעת טל,ראש העין והסביבה,גבעת טל
פלח הלימון,ראש העין,מצפה אפק,ראש העין והסביבה,מצפה אפק
444,ראש העין,שאר העיר,ראש העין והסביבה,שאר העיר
הטייס,ראש העין,אביב,ראש העין והסביבה,אביב
סנהדרין,ראש העין,הרקפות,ראש העין והסביבה,הרקפות
השריון,ראש העין,"צה""ל",ראש העין והסביבה,"צה""ל"
הדס,ראש העין,גבעת טל,,
הסופר,ראש העין,"רמב""ם",ראש העין והסביבה,"רמב""ם"
יוסי בנאי,ראש העין,פסגות אפק,ראש העין והסביבה,פסגות אפק
שדרות בן גוריון,ראש העין,פסגות אפק,ראש העין והסביבה,פסגות אפק
הבנים,ראש העין,הרקפות,ראש העין והסביבה,הרקפות
חנוך לוין,ראש העין,פסגות אפק,ראש העין והסביבה,פסגות אפק
אבן גבירול,ראש העין,"רמב""ם",ראש העין והסביבה,"רמב""ם"
תבור,ראש העין,גבעת טל,,
מלווין קלווין,ראש העין,פסגות אפק,ראש העין והסביבה,פסגות אפק
"חזון אי""ש",ראש העין,"רמב""ם",ראש העין והסביבה,"רמב""ם"
יונתן רטוש,ראש העין,פסגות אפק,,
מבצע עובדה,ראש העין,נוה אפק,,
לביא,ראש העין,גבעת הסלעים,ראש העין והסביבה,גבעת הסלעים
כרמל,ראש העין,גבעת טל,ראש העין והסביבה,גבעת טל
גבעתי,ראש העין,"צה""ל",ראש העין והסביבה,"צה""ל"
העצמאות,ראש העין,"רמב""ם",ראש העין והסביבה,"רמב""ם"
דליה רביקוביץ',ראש העין,פסגות אפק,,
זהרה אלפסיה,ראש העין,פסגות אפק,,
עפרוני,ראש העין,גבעת הסלעים,,
